"year_p_name","year_p_year","year_p_Tm","year_p_Pk","year_p_Rk","year_p_college","year_p_Yrs","year_p_G","year_p_MP","year_p_PTS","year_p_TRB","year_p_AST","year_p_FG","year_p__3P","year_p_FT","year_p_MP_PG","year_p_PTS_PG","year_p_TRB_PG","year_p_AST_PG","year_p_WS_ADV","year_p_WS48_ADV","year_p_BPM_ADV","year_p_VORP_ADV"
"Emerson Speicher","1949","BOS","","48","Bowling Green","","","","","","","","","","","","","","","","",""
"Bill Tom","1949","BOS","","49","Rice University","","","","","","","","","","","","","","","","",""
"Bill Vandenburgh","1949","BOS","","50","Washington","","","","","","","","","","","","","","","","",""
"Russ Washburn","1949","BOS","","51","Colby College","","","","","","","","","","","","","","","","",""
"Bill Weight","1949","BOS","","52","BYU","","","","","","","","","","","","","","","","",""
"Dal Zuber","1949","FTW","","53","Toledo","","","","","","","","","","","","","","","","",""
"Charlie Maas","1949","INO","","54","Butler","","","","","","","","","","","","","","","","",""
"Jim O'Halloran","1949","INO","","55","Notre Dame","","","","","","","","","","","","","","","","",""
"J.L. Parks","1949","INO","","56","Oklahoma State","","","","","","","","","","","","","","","","",""
"Bob Harrison","1949","MNL","","57","Michigan","9","615","12926","4418","1358","1672",".352","",".693","26.9","7.2","2.5","2.7","13.2",".024","",""
"Paul Walther","1949","MNL","","58","Tennessee","6","370","7258","2838","1168","974",".362","",".708","28.6","7.7","3.7","2.6","20.3",".107","",""
"Don Bagley","1949","NYK","","59","Notre Dame","","","","","","","","","","","","","","","","",""
"Ken Kearns","1949","NYK","","60","Arkansas","","","","","","","","","","","","","","","","",""
"Bill Kleine","1949","NYK","","61","Missouri Valley College","","","","","","","","","","","","","","","","",""
"Bill Litchfield","1949","NYK","","62","Emporia State University","","","","","","","","","","","","","","","","",""
"Bob Prewitt","1949","NYK","","63","SMU","","","","","","","","","","","","","","","","",""
"Paul Courty","1949","PRO","","64","Oklahoma","","","","","","","","","","","","","","","","",""
"Carl Schaeffer","1949","PRO","","65","Alabama","","","","","","","","","","","","","","","","",""
"Bill Tanzler","1949","PRO","","66","Florida","","","","","","","","","","","","","","","","",""
"Jack Theolan","1949","PRO","","67","DePaul","","","","","","","","","","","","","","","","",""
"Joe Crandall","1949","STB","","68","Oregon State","","","","","","","","","","","","","","","","",""
"Jack Davidson","1949","STB","","69","Stanford","","","","","","","","","","","","","","","","",""
"Bob Retherford","1949","STB","","70","Nebraska","","","","","","","","","","","","","","","","",""
"Marv Schatzman","1949","STB","","71","Saint Louis","1","34","","115","","38",".247","",".580","","3.4","","1.1","-0.9","","",""
"Eddie Van","1949","STB","","72","Northwestern Oklahoma State University","","","","","","","","","","","","","","","","",""
"Preston Ward","1949","STB","","73","Missouri State University","","","","","","","","","","","","","","","","",""
"Maynard Haitcock","1949","WSC","","74","George Washington","","","","","","","","","","","","","","","","",""
"Jim Lacy","1949","WSC","","75","Loyola College in Maryland","","","","","","","","","","","","","","","","",""
"Paul Arizin","1950","PHW","","1","Villanova","10","713","24897","16266","6129","1665",".421","",".810","38.4","22.8","8.6","2.3","108.8",".183","",""
"Chuck Share","1950","BOS","1","2","Bowling Green","9","596","13023","4928","4986","809",".400","",".693","21.9","8.3","8.4","1.4","40.9",".151","",""
"Don Rehfeldt","1950","BLB","2","3","Wisconsin","2","98","788","692","494","118",".370","",".758","20.2","7.1","5.0","1.2","3.5",".048","",""
"Bob Cousy","1950","TRI","3","4","Holy Cross","14","924","30165","16960","4786","6955",".375","",".803","35.3","18.4","5.2","7.5","91.1",".139","",""
"Dick Schnittker","1950","WSC","4","5","Ohio State","6","364","6744","3030","1372","479",".379","",".825","20.1","8.3","3.8","1.3","22.0",".132","",""
"Larry Foust","1950","CHS","5","6","La Salle","12","817","21890","11198","8041","1368",".405","",".741","29.2","13.7","9.8","1.7","74.3",".153","",""
"Irwin Dambrot","1950","NYK","6","7","City College of New York","","","","","","","","","","","","","","","","",""
"George Yardley","1950","FTW","7","8","Stanford","7","472","15767","9063","4220","815",".422","",".780","33.4","19.2","8.9","1.7","58.5",".178","",""
"Bob Lavoy","1950","INO","8","9","Western Kentucky","4","264","5433","2156","1634","391",".384","",".707","27.0","8.2","6.2","1.5","15.9",".132","",""
"Joe McNamee","1950","ROC","9","10","San Francisco","2","118","695","289","238","58",".298","",".620","12.0","2.4","2.0","0.5","-0.5",".000","",""
"Kevin O'Shea","1950","MNL","10","11","Notre Dame","3","174","2368","911","402","358",".337","",".680","21.3","5.2","2.3","2.1","3.8",".034","",""
"Don Lofgran","1950","SYR","11","12","San Francisco","4","209","3422","1265","817","216",".329","",".692","23.1","6.1","3.9","1.0","3.1",".044","",""
"John Pilch","1950","BLB","","13","Wyoming","1","9","41","5","9","2",".100","",".500","4.6","0.6","1.0","0.2","-0.1","-.118","",""
"Chuck Cooper","1950","BOS","","14","Duquesne","6","409","7964","2725","2431","734",".339","",".743","23.2","6.7","5.9","1.8","11.6",".050","",""
"Wally Osterkorn","1950","CHS","","15","Illinois","4","204","5187","1436","1218","346",".334","",".592","25.4","7.0","6.0","1.7","8.9",".082","",""
"Jim Riffey","1950","FTW","","16","Tulane","1","35","","150","61","16",".351","",".769","","4.3","1.7","0.5","0.2","","",""
"Paul Unruh","1950","INO","","17","Bradley","","","","","","","","","","","","","","","","",""
