"year_p_name","year_p_year","year_p_Tm","year_p_Pk","year_p_Rk","year_p_college","year_p_Yrs","year_p_G","year_p_MP","year_p_PTS","year_p_TRB","year_p_AST","year_p_FG","year_p__3P","year_p_FT","year_p_MP_PG","year_p_PTS_PG","year_p_TRB_PG","year_p_AST_PG","year_p_WS_ADV","year_p_WS48_ADV","year_p_BPM_ADV","year_p_VORP_ADV"
"John Mahoney","1955","BOS","","41","William & Mary","","","","","","","","","","","","","","","","",""
"Howard Sessums","1955","NYK","","42","Mississippi College","","","","","","","","","","","","","","","","",""
"George Swyers","1955","PHW","","43","West Virginia Tech","","","","","","","","","","","","","","","","",""
"John Moore","1955","BOS","","44","UCLA","","","","","","","","","","","","","","","","",""
"Jim Fay","1955","NYK","","45","St. Ambrose University","","","","","","","","","","","","","","","","",""
"Harry Silcox","1955","PHW","","46","Temple","","","","","","","","","","","","","","","","",""
"Dean Parsons","1955","BOS","","47","Washington","","","","","","","","","","","","","","","","",""
"Joe Beck","1955","NYK","","48","Truman State University","","","","","","","","","","","","","","","","",""
"Al Didriksen","1955","PHW","","49","Temple","","","","","","","","","","","","","","","","",""
"Nick Romanoff","1955","BOS","","50","University of the Pacific","","","","","","","","","","","","","","","","",""
"Don Payne","1955","NYK","","51","Adelphi University","","","","","","","","","","","","","","","","",""
"Lester Lane","1955","PHW","","52","Oklahoma","","","","","","","","","","","","","","","","",""
"Jim Ahearn","1955","BOS","","53","UConn","","","","","","","","","","","","","","","","",""
"Wally McCarvill","1955","NYK","","54","Iona College","","","","","","","","","","","","","","","","",""
"Jerry Koch","1955","PHW","","55","Saint Louis","","","","","","","","","","","","","","","","",""
"Carl Hartman","1955","BOS","","56","Alderson-Broaddus College","","","","","","","","","","","","","","","","",""
"Charles Stickels","1955","NYK","","57","Hastings College","","","","","","","","","","","","","","","","",""
"Mark Davis","1955","BOS","","58","Marietta College","","","","","","","","","","","","","","","","",""
"Mickey Harrington","1955","NYK","","59","University of Southern Mississippi","","","","","","","","","","","","","","","","",""
"Henry Dooley","1955","BOS","","60","Wiley College","","","","","","","","","","","","","","","","",""
"Bob Scuddelari","1955","BOS","","61","Cooper Union","","","","","","","","","","","","","","","","",""
"Don Belcher","1955","FTW","","62","LSU","","","","","","","","","","","","","","","","",""
"Tom Harrold","1955","FTW","","63","Colorado","","","","","","","","","","","","","","","","",""
"Happy Mahfouz","1955","FTW","","64","Spring Hill College","","","","","","","","","","","","","","","","",""
"Tom Mixon","1955","FTW","","65","Mercer University","","","","","","","","","","","","","","","","",""
"Tom Mock","1955","FTW","","66","Colorado","","","","","","","","","","","","","","","","",""
"Bob Reiter","1955","FTW","","67","Missouri","","","","","","","","","","","","","","","","",""
"Ray Warren","1955","FTW","","68","TCU","","","","","","","","","","","","","","","","",""
"Don Boldebuck","1955","MNL","","69","Houston","","","","","","","","","","","","","","","","",""
"Don Bragg","1955","MNL","","70","UCLA","","","","","","","","","","","","","","","","",""
"K.C. Jones","1955","MNL","","71","San Francisco","9","676","17501","5011","2399","2908",".387","",".647","25.9","7.4","3.5","4.3","38.6",".106","",""
"Jim Scott","1955","MNL","","72","West Texas A&M University","","","","","","","","","","","","","","","","",""
"Bill Warden","1955","MNL","","73","North Central College","","","","","","","","","","","","","","","","",""
"O'Neal Weaver","1955","MNL","","74","Midwestern State University","","","","","","","","","","","","","","","","",""
"Bob Armstrong","1955","ROC","","75","Michigan State","1","19","110","28","39","3",".297","",".500","5.8","1.5","2.1","0.2","-0.1","-.063","",""
"Harry Jorgensen","1955","ROC","","76","Wyoming","","","","","","","","","","","","","","","","",""
"Jerry Jung","1955","ROC","","77","Kansas State","","","","","","","","","","","","","","","","",""
"Jim McConnell","1955","ROC","","78","Niagara University","","","","","","","","","","","","","","","","",""
"John Prudhoe","1955","ROC","","79","Louisville","","","","","","","","","","","","","","","","",""
"Art Quimby","1955","ROC","","80","UConn","","","","","","","","","","","","","","","","",""
"Tony Vlastelica","1955","ROC","","81","Oregon State","","","","","","","","","","","","","","","","",""
"Harvey Babetch","1955","STL","","82","Bradley","","","","","","","","","","","","","","","","",""
"Dick Cable","1955","STL","","83","Wisconsin","","","","","","","","","","","","","","","","",""
"Lynn Cole","1955","STL","","84","Creighton","","","","","","","","","","","","","","","","",""
"Joe Fitt","1955","STL","","85","University of Scranton","","","","","","","","","","","","","","","","",""
"Charles Hoxie","1955","STL","","86","Niagara University","","","","","","","","","","","","","","","","",""
"Ed O'Connor","1955","STL","","87","Manhattan College","","","","","","","","","","","","","","","","",""
"Bill Reigel","1955","STL","","88","McNeese State University","","","","","","","","","","","","","","","","",""
"Dick Welsh","1955","STL","","89","USC","","","","","","","","","","","","","","","","",""
"Cliff Dwyer","1955","SYR","","90","NC State","","","","","","","","","","","","","","","","",""
"Ed Galvin","1955","SYR","","91","Loyola University New Orleans","","","","","","","","","","","","","","","","",""
"Stan Glowaski","1955","SYR","","92","Seattle University","","","","","","","","","","","","","","","","",""
"Russ Lawler","1955","SYR","","93","Stanford","","","","","","","","","","","","","","","","",""
"Marty Satalino","1955","SYR","","94","St. John's","","","","","","","","","","","","","","","","",""
"Ron Tomsic","1955","SYR","","95","Stanford","","","","","","","","","","","","","","","","",""
"Tom Heinsohn","1956","BOS","","1","Holy Cross","9","654","19254","12194","5749","1318",".405","",".790","29.4","18.6","8.8","2.0","60.0",".150","",""
"Si Green","1956","ROC","1","2","Duquesne","9","504","13132","4636","2152","1655",".387","",".676","26.1","9.2","4.3","3.3","10.0",".037","",""
"Bill Russell","1956","STL","2","3","San Francisco","13","963","40726","14522","21620","4100",".440","",".561","42.3","15.1","22.5","4.3","163.5",".193","",""
"Jim Paxson","1956","MNL","3","4","Dayton","2","138","3069","1105","616","225",".323","",".727","22.2","8.0","4.5","1.6","2.8",".044","",""
"Ron Shavlik","1956","NYK","4","5","NC State","2","8","74","10","23","0",".174","",".400","9.3","1.3","2.9","0.0","-0.3","-.189","",""
"Joe Holup","1956","SYR","5","6","George Washington","3","192","3526","1347","852","193",".342","",".781","18.4","7.0","4.4","1.0","4.2",".058","",""
"Ron Sobie","1956","FTW","6","7","DePaul","4","192","3868","1619","791","353",".379","",".808","20.1","8.4","4.1","1.8","7.2",".089","",""
"Hal Lear","1956","PHW","7","8","Temple","1","3","14","4","1","1",".333","","","4.7","1.3","0.3","0.3","0.0","-.085","",""
"K.C. Jones","1956","BOS","","9","San Francisco","9","676","17501","5011","2399","2908",".387","",".647","25.9","7.4","3.5","4.3","38.6",".106","",""
"George Linn","1956","BOS","","10","Alabama","","","","","","","","","","","","","","","","",""
"Dan Swartz","1956","BOS","","11","Morehead State University","1","39","335","175","88","21",".380","",".847","8.6","4.5","2.3","0.5","1.0",".143","",""
"Bill Logan","1956","BOS","","12","Iowa","","","","","","","","","","","","","","","","",""
"Don Boldebuck","1956","BOS","","13","Houston","","","","","","","","","","","","","","","","",""
"O'Neal Weaver","1956","BOS","","14","Midwestern State University","","","","","","","","","","","","","","","","",""
"Vic Molodet","1956","BOS","","15","NC State","","","","","","","","","","","","","","","","",""
"Jim Houston","1956","BOS","","16","Brandeis University","","","","","","","","","","","","","","","","",""
"Theophileus Lloyd","1956","BOS","","17","Maryland","","","","","","","","","","","","","","","","",""
"Bruce Harris","1956","FTW","","18","Tennessee Technological University","","","","","","","","","","","","","","","","",""
"Bob Kessler","1956","FTW","","19","Maryland","","","","","","","","","","","","","","","","",""
"Joe Lieber","1956","FTW","","20","Holy Cross","","","","","","","","","","","","","","","","",""
"John Schlimm","1956","FTW","","21","John Carroll University","","","","","","","","","","","","","","","","",""
"Charles Slack","1956","FTW","","22","Marshall","","","","","","","","","","","","","","","","",""
"Bill Thieben","1956","FTW","","23","Hofstra","2","85","876","337","272","24",".331","",".640","10.3","4.0","3.2","0.3","-0.5","-.026","",""
"Lloyd Aubrey","1956","MNL","","24","Notre Dame","","","","","","","","","","","","","","","","",""
"John Barber","1956","MNL","","25","California State University, Los Angeles","1","5","19","7","6","0",".250","",".500","3.8","1.4","1.2","0.0","0.0","-.108","",""
"Elgin Baylor","1956","MNL","","26","Seattle University","14","846","33863","23149","11463","3650",".431","",".780","40.0","27.4","13.5","4.3","104.2",".148","",""
"Jerry Bird","1956","MNL","","27","Kentucky","1","11","45","25","12","4",".375","","1.000","4.1","2.3","1.1","0.4","0.0","-.043","",""
"Phil Grawmeyer","1956","MNL","","28","Kentucky","","","","","","","","","","","","","","","","",""
"Robert Hodgson","1956","MNL","","29","Wichita State","","","","","","","","","","","","","","","","",""
"Sam Jones","1956","MNL","","30","NC Central","12","871","24285","15411","4305","2209",".456","",".803","27.9","17.7","4.9","2.5","92.3",".182","",""
"Phil Jordon","1956","MNL","","31","Whitworth","7","442","10792","4833","3028","769",".398","",".694","24.4","10.9","6.9","1.7","9.9",".044","",""
"John Patzwald","1956","MNL","","32","Gustavus Adolphus","","","","","","","","","","","","","","","","",""
"Terry Rand","1956","MNL","","33","Marquette","","","","","","","","","","","","","","","","",""
"Bill Reigel","1956","MNL","","34","McNeese State University","","","","","","","","","","","","","","","","",""
"Jim Springer","1956","MNL","","35","Gustavus Adolphus","","","","","","","","","","","","","","","","",""
"Carl Widseth","1956","MNL","","36","Tennessee","","","","","","","","","","","","","","","","",""
"Jack Adams","1956","NYK","","37","Eastern Kentucky University","","","","","","","","","","","","","","","","",""
"Gary Bergen","1956","NYK","","38","Utah","1","6","40","8","8","1",".273","","1.000","6.7","1.3","1.3","0.2","0.0","-.044","",""
"Art Bunte","1956","NYK","","39","Utah","","","","","","","","","","","","","","","","",""
"Howard Crittendon","1956","NYK","","40","Murray State","","","","","","","","","","","","","","","","",""
"Pat Dunn","1956","NYK","","41","Utah State University","1","28","206","70","31","28",".311","",".824","7.4","2.5","1.1","1.0","-0.1","-.013","",""
"Jerry Harper","1956","NYK","","42","Alabama","","","","","","","","","","","","","","","","",""
"Ronnie Mayer","1956","NYK","","43","Duke","","","","","","","","","","","","","","","","",""
"Dick Miani","1956","NYK","","44","Miami (FL)","","","","","","","","","","","","","","","","",""
"Dick Miller","1956","NYK","","45","Wisconsin","","","","","","","","","","","","","","","","",""
"Ed Petrie","1956","NYK","","46","Seton Hall","","","","","","","","","","","","","","","","",""
"Tony Roybal","1956","NYK","","47","New Mexico","","","","","","","","","","","","","","","","",""
"Joe Sexton","1956","NYK","","48","Purdue","","","","","","","","","","","","","","","","",""
"Max Anderson","1956","PHW","","49","Oregon","","","","","","","","","","","","","","","","",""
"Joe Belmont","1956","PHW","","50","Duke","","","","","","","","","","","","","","","","",""
"Ronald Clark","1956","PHW","","51","Springfield College","","","","","","","","","","","","","","","","",""
"John Fannon","1956","PHW","","52","Notre Dame","","","","","","","","","","","","","","","","",""
"Bevo Francis","1956","PHW","","53","University of Rio Grande","","","","","","","","","","","","","","","","",""
"Phil Rollins","1956","PHW","","54","Louisville","3","177","2742","898","395","458",".385","",".649","15.5","5.1","2.2","2.6","1.9",".033","",""
"Phil Wheeler","1956","PHW","","55","Cincinnati","","","","","","","","","","","","","","","","",""
"Mickey Winograd","1956","PHW","","56","Duquesne","","","","","","","","","","","","","","","","",""
"Bob Burrow","1956","ROC","","57","Kentucky","2","81","1199","459","357","47",".365","",".578","14.8","5.7","4.4","0.6","1.9",".077","",""
"Carl Cain","1956","ROC","","58","Iowa","","","","","","","","","","","","","","","","",""
"Gene Carpenter","1956","ROC","","59","Texas Tech","","","","","","","","","","","","","","","","",""
"Clayton Carter","1956","ROC","","60","Oklahoma State","","","","","","","","","","","","","","","","",""
"Dan Mannix","1956","ROC","","61","St. Francis College","","","","","","","","","","","","","","","","",""
"Johnny McCarthy","1956","ROC","","62","Canisius","6","316","8828","2450","1145","1184",".353","",".622","27.9","7.8","3.6","3.7","4.7",".026","",""
"Jerry Moreman","1956","ROC","","63","Louisville","","","","","","","","","","","","","","","","",""
"Dave Piontek","1956","ROC","","64","Xavier","7","413","7623","2955","1770","478",".391","",".652","18.5","7.2","4.3","1.2","7.0",".044","",""
"Kevin Thomas","1956","ROC","","65","Boston University","","","","","","","","","","","","","","","","",""
"Bill Uhl","1956","ROC","","66","Dayton","","","","","","","","","","","","","","","","",""
"Wally Choice","1956","STL","","67","Indiana","","","","","","","","","","","","","","","","",""
"Darrell Floyd","1956","STL","","68","Furman University","","","","","","","","","","","","","","","","",""
"Robin Freeman","1956","STL","","69","Ohio State","","","","","","","","","","","","","","","","",""
"Arthur Helms","1956","STL","","70","Houston","","","","","","","","","","","","","","","","",""
"Ed Huse","1956","STL","","71","Wyoming","","","","","","","","","","","","","","","","",""
"Julius McCoy","1956","STL","","72","Michigan State","","","","","","","","","","","","","","","","",""
"Junior Morgan","1956","STL","","73","Duke","","","","","","","","","","","","","","","","",""
"Willie Naulls","1956","STL","","74","UCLA","10","716","20620","11305","6508","1114",".406","",".812","28.8","15.8","9.1","1.6","34.3",".080","",""
"Hershel Pederson","1956","STL","","75","BYU","","","","","","","","","","","","","","","","",""
"Dave Plunkett","1956","STL","","76","Cincinnati","","","","","","","","","","","","","","","","",""
"Jim Reed","1956","STL","","77","Texas Tech","","","","","","","","","","","","","","","","",""
"Norm Stewart","1956","STL","","78","Missouri","1","5","37","10","5","2",".267","",".333","7.4","2.0","1.0","0.4","-0.1","-.157","",""
"Morris Taft","1956","STL","","79","UCLA","","","","","","","","","","","","","","","","",""
"Forest Able","1956","SYR","","80","Western Kentucky","1","1","1","0","1","1",".000","","","1.0","0.0","1.0","1.0","0.0","-2.062","",""
"Willie Bergines","1956","SYR","","81","West Virginia","","","","","","","","","","","","","","","","",""
"Milt Graham","1956","SYR","","82","Colgate","","","","","","","","","","","","","","","","",""
"Swede Halbrook","1956","SYR","","83","Oregon State","2","143","2039","786","949","64",".347","",".591","14.3","5.5","6.6","0.4","0.3",".007","",""
"Bob Hopkins","1956","SYR","","84","Grambling State University","4","273","5122","2237","1526","189",".394","",".761","18.8","8.2","5.6","0.7","9.5",".089","",""
"Paul Judson","1956","SYR","","85","Illinois","","","","","","","","","","","","","","","","",""
"Dick Julio","1956","SYR","","86","University of Massachusetts Dartmouth","","","","","","","","","","","","","","","","",""
"Dick Kenyon","1956","SYR","","87","LeMoyne College","","","","","","","","","","","","","","","","",""
"Jim McLaughlin","1956","SYR","","88","Saint Louis","","","","","","","","","","","","","","","","",""
"Jim Ray","1956","SYR","","89","Toledo","2","8","64","9","5","5",".176","",".600","8.0","1.1","0.6","0.6","-0.2","-.115","",""
"Jess Roh","1956","SYR","","90","Idaho State University","","","","","","","","","","","","","","","","",""
"Chuck Rolles","1956","SYR","","91","Cornell","","","","","","","","","","","","","","","","",""
"Chester Webb","1956","SYR","","92","Georgia Southern University","","","","","","","","","","","","","","","","",""
"Hot Rod Hundley","1957","CIN","1","1","West Virginia","6","431","9553","3625","1420","1455",".347","",".721","22.2","8.4","3.3","3.4","4.3",".022","",""
"Charlie Tyra","1957","DET","2","2","Louisville","5","348","7811","3091","2567","315",".387","",".672","22.4","8.9","7.4","0.9","5.0",".031","",""
"Jim Krebs","1957","MNL","3","3","SMU","7","515","10661","4128","3177","429",".405","",".755","20.7","8.0","6.2","0.8","12.4",".056","",""
"Win Wilfong","1957","STL","4","4","Memphis","4","268","4810","1826","910","565",".361","",".744","17.9","6.8","3.4","2.1","2.7",".027","",""
"Brendan McCann","1957","NYK","5","5","St. Bonaventure","3","41","331","74","50","65",".204","",".700","8.1","1.8","1.2","1.6","-0.6","-.085","",""
"Lennie Rosenbluth","1957","PHW","6","6","UNC","2","82","578","342","145","29",".327","",".655","7.0","4.2","1.8","0.4","-0.7","-.057","",""
"George Bon Salle","1957","SYR","7","7","Illinois","1","3","9","4","2","0",".250","","","3.0","1.3","0.7","0.0","-0.1","-.429","",""
"Sam Jones","1957","BOS","8","8","NC Central","12","871","24285","15411","4305","2209",".456","",".803","27.9","17.7","4.9","2.5","92.3",".182","",""
"Dick Duckett","1957","CIN","9","9","St. John's","1","34","424","132","56","47",".342","",".889","12.5","3.9","1.6","1.4","0.2",".025","",""
"Bob McCoy","1957","DET","10","10","Grambling State University","","","","","","","","","","","","","","","","",""
"Harvey Schmidt","1957","MNL","11","11","Illinois","","","","","","","","","","","","","","","","",""
"Jim Palmer","1957","STL","12","12","Dayton","3","196","3794","1595","1040","165",".413","",".703","19.4","8.1","5.3","0.8","4.5",".057","",""
"Larry Friend","1957","NYK","13","13","California","1","44","569","175","106","47",".327","",".659","12.9","4.0","2.4","1.1","-0.4","-.033","",""
"Jack Sullivan","1957","PHW","14","14","Mount St. Mary's University","","","","","","","","","","","","","","","","",""
"Jim Morgan","1957","SYR","15","15","Louisville","","","","","","","","","","","","","","","","",""
"Dick O'Neal","1957","BOS","16","16","TCU","","","","","","","","","","","","","","","","",""
"Jerry Paulson","1957","CIN","17","17","Manhattan College","1","6","68","20","10","4",".348","",".667","11.3","3.3","1.7","0.7","0.0",".016","",""
"Bill Ebben","1957","DET","18","18","Detroit Mercy","1","8","50","15","8","4",".214","",".750","6.3","1.9","1.0","0.5","-0.2","-.233","",""
"Jim Spivey","1957","MNL","19","19","Southeastern Oklahoma State University","","","","","","","","","","","","","","","","",""
"John Smyth","1957","STL","20","20","Notre Dame","","","","","","","","","","","","","","","","",""
"Gary Clark","1957","NYK","21","21","Syracuse","","","","","","","","","","","","","","","","",""
"Angelo Lombardo","1957","PHW","22","22","Manhattan College","","","","","","","","","","","","","","","","",""
"Vince Cohen","1957","SYR","23","23","Syracuse","","","","","","","","","","","","","","","","",""
"Chuck Schramm","1957","BOS","24","24","Western Illinois University","","","","","","","","","","","","","","","","",""
"Jed Dormeyer","1957","CIN","25","25","Minnesota","","","","","","","","","","","","","","","","",""
"Kurt Englebert","1957","DET","26","26","Saint Joseph's","","","","","","","","","","","","","","","","",""
"George Brown","1957","MNL","27","27","Wayne State University","1","1","6","1","1","0",".000","",".500","6.0","1.0","1.0","0.0","0.0","-.308","",""
"Hank Nowak","1957","STL","28","28","Canisius","","","","","","","","","","","","","","","","",""
"Rayford Wells","1957","NYK","29","29","Lenoir-Rhyne College","","","","","","","","","","","","","","","","",""
"Ray Radziszewski","1957","PHW","30","30","Saint Joseph's","1","1","6","0","2","1",".000","","","6.0","0.0","2.0","1.0","-0.1","-.496","",""
"Jerry Mallett","1957","SYR","31","31","Baylor","","","","","","","","","","","","","","","","",""
"Jim Ashmore","1957","BOS","32","32","Mississippi State","","","","","","","","","","","","","","","","",""
"Stewart Murray","1957","CIN","33","33","Lafayette College","","","","","","","","","","","","","","","","",""
"Ron Kramer","1957","DET","34","34","Michigan","","","","","","","","","","","","","","","","",""
"Gary Thompson","1957","MNL","35","35","Iowa State","","","","","","","","","","","","","","","","",""
"Al Rochelle","1957","STL","36","36","Vanderbilt","","","","","","","","","","","","","","","","",""
"Lee Marshall","1957","NYK","37","37","Washington & Lee University","","","","","","","","","","","","","","","","",""
"Jim Radcliffe","1957","PHW","38","38","Lafayette College","","","","","","","","","","","","","","","","",""
"Frank Nimmo","1957","SYR","39","39","Cincinnati","","","","","","","","","","","","","","","","",""
"Grady Wallace","1957","BOS","40","40","South Carolina","","","","","","","","","","","","","","","","",""
"John Maglio","1957","CIN","41","41","NC State","","","","","","","","","","","","","","","","",""
"Walt Acamushko","1957","DET","42","42","St. Francis College","","","","","","","","","","","","","","","","",""
"Phil Murrell","1957","MNL","43","43","Drake University","","","","","","","","","","","","","","","","",""
"Raymond Downs","1957","STL","44","44","Texas","","","","","","","","","","","","","","","","",""
"Jim Humphreys","1957","NYK","45","45","Saint Michael's College","","","","","","","","","","","","","","","","",""
"Alonzo Lewis","1957","PHW","46","46","La Salle","","","","","","","","","","","","","","","","",""
"Lyndon Lee","1957","SYR","47","47","Oklahoma City University","","","","","","","","","","","","","","","","",""
"Maurice King","1957","BOS","48","48","Kansas","2","38","973","226","106","144",".398","",".800","25.6","5.9","2.8","3.8","0.0",".000","",""
"Chet Forte","1957","CIN","49","49","Columbia University","","","","","","","","","","","","","","","","",""
"Carl Boldt","1957","DET","50","50","San Francisco","","","","","","","","","","","","","","","","",""
"George Ferguson","1957","MNL","51","51","Michigan","","","","","","","","","","","","","","","","",""
"Mason Pope","1957","STL","52","52","Kentucky Wesleyan College","","","","","","","","","","","","","","","","",""
"Max Jameson","1957","PHW","53","53","Kentucky State University","","","","","","","","","","","","","","","","",""
"Dick Gaines","1957","SYR","54","54","Seton Hall","","","","","","","","","","","","","","","","",""
"Dick Brott","1957","BOS","55","55","Denver","","","","","","","","","","","","","","","","",""
"Bob Daniels","1957","CIN","56","56","Western Kentucky","","","","","","","","","","","","","","","","",""
"Doug Bolstorff","1957","DET","57","57","Minnesota","1","3","21","4","0","0",".400","","","7.0","1.3","0.0","0.0","0.0","-.004","",""
"John Haaven","1957","MNL","58","58","University of North Dakota","","","","","","","","","","","","","","","","",""
"Bill Darragh","1957","STL","59","59","Louisville","","","","","","","","","","","","","","","","",""
"Woody Sauldsberry","1957","PHW","60","60","Texas Southern","7","462","12788","4930","3618","498",".348","",".610","27.7","10.7","7.8","1.1","-7.9","-.030","",""
"Cebe Price","1957","SYR","61","61","Marshall","","","","","","","","","","","","","","","","",""
"Bill Von Weyhe","1957","BOS","62","62","Rhode Island","","","","","","","","","","","","","","","","",""
"Dick Heise","1957","CIN","63","63","DePaul","","","","","","","","","","","","","","","","",""
"Bob Lazor","1957","DET","64","64","Pitt","","","","","","","","","","","","","","","","",""
"Jim Sutton","1957","MNL","65","65","North Dakota State University","","","","","","","","","","","","","","","","",""
"Calvin Grosscup","1957","STL","66","66","Tulane","","","","","","","","","","","","","","","","",""
"Steve Hamilton","1957","PHW","67","67","Morehead State University","2","82","1094","368","278","43",".372","",".697","13.3","4.5","3.4","0.5","0.9",".040","",""
"Jim Brown","1957","SYR","68","68","Syracuse","","","","","","","","","","","","","","","","",""
"Joe Gibbon","1957","BOS","69","69","Ole Miss","","","","","","","","","","","","","","","","",""
"Mel Wright","1957","CIN","70","70","Oklahoma State","","","","","","","","","","","","","","","","",""
"Gordon Fosness","1957","MNL","71","71","Dakota Wesleyan University","","","","","","","","","","","","","","","","",""
"Bobby Mills","1957","STL","72","72","SMU","","","","","","","","","","","","","","","","",""
"Jerry Calvert","1957","PHW","73","73","Kentucky","","","","","","","","","","","","","","","","",""
"Jack Nichols","1957","SYR","74","74","Colgate","","","","","","","","","","","","","","","","",""
"Jack Butcher","1957","BOS","75","75","Memphis","","","","","","","","","","","","","","","","",""
"Cliff Hafer","1957","CIN","76","76","NC State","","","","","","","","","","","","","","","","",""
"Gerald Dreier","1957","STL","77","77","Macalester College","","","","","","","","","","","","","","","","",""
"Dick Neal","1957","BOS","78","78","Indiana","","","","","","","","","","","","","","","","",""
"Jim Boothe","1957","CIN","79","79","Xavier","","","","","","","","","","","","","","","","",""
"Bob Seitz","1957","STL","80","80","NC State","","","","","","","","","","","","","","","","",""
"Jim Weeks","1957","SYR","81","81","New York Institute of Technology","","","","","","","","","","","","","","","","",""
"Ed Romanoff","1957","STL","82","82","Oregon","","","","","","","","","","","","","","","","",""
"Lavelle Langston","1957","STL","83","83","Northwestern State University","","","","","","","","","","","","","","","","",""
"Dan Tobin","1957","BOS","","84","Florida Southern College","","","","","","","","","","","","","","","","",""
"Jerry Gibson","1957","PHW","","85","","","","","","","","","","","","","","","","","",""
"Guy Rodgers","1958","PHW","","1","Temple","12","892","28663","10415","3791","6917",".378","",".721","32.1","11.7","4.3","7.8","33.3",".056","",""
"Elgin Baylor","1958","MNL","1","2","Seattle University","14","846","33863","23149","11463","3650",".431","",".780","40.0","27.4","13.5","4.3","104.2",".148","",""
"Archie Dees","1958","CIN","2","3","Indiana","4","190","3092","1548","907","132",".402","",".794","16.3","8.1","4.8","0.7","4.8",".074","",""
"Mike Farmer","1958","NYK","3","4","San Francisco","7","423","8818","2816","1950","550",".393","",".814","20.8","6.7","4.6","1.3","6.3",".035","",""
"Pete Brennan","1958","NYK","4","5","UNC","1","16","136","40","31","6",".302","",".560","8.5","2.5","1.9","0.4","-0.1","-.030","",""
"Connie Dierking","1958","SYR","5","6","Cincinnati","10","706","15474","7094","4757","1053",".417","",".697","21.9","10.0","6.7","1.5","13.3",".041","",""
"Dave Gambee","1958","STL","6","7","Oregon State","12","750","14665","7935","3891","757",".420","",".822","19.6","10.6","5.2","1.0","35.1",".115","",""
"Bennie Swain","1958","BOS","7","8","Texas Southern","1","58","708","265","262","29",".406","",".609","12.2","4.6","4.5","0.5","1.9",".128","",""
"Steve Hamilton","1958","MNL","8","9","Morehead State University","2","82","1094","368","278","43",".372","",".697","13.3","4.5","3.4","0.5","0.9",".040","",""
"Vern Hatton","1958","CIN","9","10","Kentucky","4","225","3666","1244","531","310",".344","",".735","16.3","5.5","2.4","1.4","0.3",".003","",""
"Barney Cable","1958","DET","10","11","Bradley","6","362","6817","2372","1884","381",".420","",".665","18.8","6.6","5.2","1.1","6.5",".046","",""
"Joe Quigg","1958","NYK","11","12","UNC","","","","","","","","","","","","","","","","",""
"Lamar Sharrar","1958","PHW","12","13","West Virginia","","","","","","","","","","","","","","","","",""
"Hal Greer","1958","SYR","13","14","Marshall","15","1122","39788","21586","5665","4540",".452","",".801","35.5","19.2","5.0","4.0","102.7",".124","",""
"Hub Reed","1958","STL","14","15","Oklahoma City University","7","479","7870","2618","2449","367",".436","",".724","16.4","5.5","5.1","0.8","9.3",".057","",""
"Jimmy Smith","1958","BOS","15","16","Franciscan University of Steubenville","","","","","","","","","","","","","","","","",""
"Boo Ellis","1958","MNL","16","17","Niagara University","2","118","1873","607","616","86",".402","",".695","15.9","5.1","5.2","0.7","3.1",".079","",""
"Bucky Bockhorn","1958","CIN","17","18","Dayton","7","474","14791","5430","2234","1645",".403","",".748","31.2","11.5","4.7","3.5","7.9",".026","",""
"Roy DeWitz","1958","DET","18","19","Kansas State","","","","","","","","","","","","","","","","",""
"John Lee","1958","NYK","19","20","Yale","","","","","","","","","","","","","","","","",""
"Frank Howard","1958","PHW","20","21","Ohio State","","","","","","","","","","","","","","","","",""
"John Nacincik","1958","SYR","21","22","Maryland","","","","","","","","","","","","","","","","",""
"Wayne Embry","1958","STL","22","23","Miami University","11","831","21763","10380","7544","1194",".440","",".640","26.2","12.5","9.1","1.4","37.8",".083","",""
"Jim Cunningham","1958","BOS","23","24","Fordham","","","","","","","","","","","","","","","","",""
"George Kline","1958","MNL","24","25","Minnesota","","","","","","","","","","","","","","","","",""
"Phil Murrell","1958","CIN","25","26","Drake University","","","","","","","","","","","","","","","","",""
"Ralph Croswaite","1958","DET","26","27","Western Kentucky","","","","","","","","","","","","","","","","",""
"Johnny Cox","1958","NYK","27","28","Kentucky","1","73","1685","573","280","142",".421","",".704","23.1","7.8","3.8","1.9","0.5",".015","",""
"Temple Tucker","1958","PHW","28","29","Rice University","","","","","","","","","","","","","","","","",""
"Tommy Kearns","1958","SYR","29","30","UNC","1","1","7","2","0","0","1.000","","","7.0","2.0","0.0","0.0","0.0",".230","",""
"Julius Peques","1958","STL","30","31","Pitt","","","","","","","","","","","","","","","","",""
"Don Flora","1958","BOS","31","32","Washington & Lee University","","","","","","","","","","","","","","","","",""
"Quitman Sullins","1958","MNL","32","33","Murray State","","","","","","","","","","","","","","","","",""
"Jim Fulmer","1958","CIN","33","34","Alabama","","","","","","","","","","","","","","","","",""
"Hank Morano","1958","DET","34","35","Saint Peter's College","","","","","","","","","","","","","","","","",""
"Don Lane","1958","NYK","35","36","Dayton","","","","","","","","","","","","","","","","",""
"Don Ohl","1958","PHW","36","37","Illinois","10","727","22413","11549","2163","2243",".434","",".732","30.8","15.9","3.0","3.1","30.2",".065","",""
"Fred Grim","1958","SYR","37","38","Arkansas","","","","","","","","","","","","","","","","",""
"Rick Herrsher","1958","STL","38","39","SMU","","","","","","","","","","","","","","","","",""
